marca;nombre;precio;tag;link;precio_num;nombre_comercial;categoria_id;categoria
GW;BICICLETA MTB 24P 3X7V LYNX ALUMINIO GW;$ 789.000;Nuevo;;789000;GW Lynx;CAT01;Bicicletas
Shimano;MORDAZA PARA FRENO BR-MT410 DISCO HIDRAULICO F/R 2 PISTONES SHIMANO;$ 63.000;Nuevo;;63000;Shimano BR-MT410;CAT04;Frenos
Shimano;KIT DEORE DI2 MTB 12V SHIMANO;$ 2.280.000;Nuevo;;2280000;Shimano Deore Di2;CAT02;Componentes
Syncros;TAPON PARA MANUBRIO INTEGRADO DE FOIL 2016 A 2022 SYNCROS;$ 30.000;Nuevo;;30000;Syncros Tapón Manubrio Integrado Foil;CAT07;Accesorios
Shimano;PLATO FC-R9200 DURA ACE 52T-NH 12V SHIMANO;$ 564.000;Nuevo;;564000;Shimano Dura Ace FC-R9200;CAT02;Componentes
Shimano;PLATO FC-R9200/FC09 DURA ACE 36T-NH 12V SHIMANO;$ 95.000;Nuevo;;95000;Shimano Dura Ace FC-R9200;CAT02;Componentes
Syncros;LUZ TRASERA CAMPBELL PARA ADDICT RC 2025 SYNCROS;$ 190.000;Nuevo;;190000;Syncros Luz Trasera Campbell;CAT07;Accesorios
SCOTT;TAPA COBERTORA PARA ADDICT RC 2025 SCOTT;$ 150.000;Nuevo;;150000;REVISAR MANUALMENTE;CAT07;Accesorios
SCOTT;CALCOMANIAS DE PROTECCION PARA SCALE 2023 /SPARK,SPARK RC 2 SCOTT;$ 53.000;Nuevo;;53000;REVISAR MANUALMENTE;CAT07;Accesorios
Shimano;JUEGO DE FRENOS MTB DISCO HIDRAULICOS BL/BR-M8200 XT 2 PISTONES SHIMANO;$ 1.310.000;Nuevo;;1310000;Shimano XT BL/BR-M8200;CAT04;Frenos
Shimano;JUEGO BIELAS FC-U4000-1 CUES 30T 1X9/10/11V SHIMANO;$ 140.000;Nuevo;;140000;Shimano Cues FC-U4000-1;CAT02;Componentes
Bryton;CICLOCOMPUTADOR BRYTON RIDER 17;$ 290.000;Nuevo;;290000;Bryton Rider 17;CAT06;Electrónica
GW;TIMBRE INFANTIL PRINCESS PLASTICO GW;$ 10.000;Nuevo;;10000;GW Princess;CAT07;Accesorios
Pro;CINTAS PARA MANUBRIO CLASSIC COMFORT PRO;$ 40.000;Nuevo;;40000;Classic Comfort Pro;CAT07;Accesorios
Shimano;JUEGO DE CENTRO SM-BBR60 ITALIANA RUTA ROSCADO SHIMANO;$ 66.000;Nuevo;;66000;Shimano SM-BBR60;CAT02;Componentes
SCOTT;BICICLETA MTB ASPECT 25 2026 2X9 SCOTT;$ 2.600.000;Nuevo;;2600000;Scott Aspect 25;CAT01;Bicicletas
GW;PANTALONETA CON CARGADERAS HOMBRE ECOS DE MACONDO GW;$ 125.000;Nuevo;;125000;GW Ecos de Macondo;CAT05;Indumentaria
Chaoyang;LLANTA BMX 16X2.125 27TPI H 5228 FREESTYLE BMXER CHAOYANG;$ 30.000;Nuevo;;30000;Chaoyang BMXer;CAT03;Neumáticos
GW;CASCO BMX/SKATE S1 GW;$ 55.000;Nuevo;;55000;GW S1;CAT07;Accesorios
Sportfitness;MANGAS DEPORTIVAS RUNNER SPORTFITNESS;$ 19.000;Nuevo;;19000;Runner Sportfitness;CAT05;Indumentaria
Chaoyang;NEUMATICO MOLDED 700X25/32C F/V 80MM CHAOYANG;$ 13.000;Nuevo;;13000;Chaoyang Molded;CAT03;Neumáticos
GW;SILLIN MTB AF 145MM BERTOI GW;$ 26.000;Nuevo;;26000;Bertoi GW AF;CAT02;Componentes
GW;SILLIN MTB GF 160MM ASSENTO GW;$ 18.000;Nuevo;;18000;Assento GW GF;CAT02;Componentes
GW;JUEGO DE CENTRO CARTUCHO MX-A203 ACERO GW;$ 15.000;Nuevo;;15000;GW MX-A203;CAT02;Componentes
GW;NEUMATICO MOLDED 700X23/32C F/V 60MM BUTILO GW;$ 15.000;Nuevo;;15000;GW Molded;CAT03;Neumáticos
Elite;SOPORTE CARAMAÑOLA CUSTOM RACE X ELITE;$ 56.000;Nuevo;;56000;Custom Race X;CAT07;Accesorios
Shimano;BICICLETA MTB ASPECT 15 2026 2X11 SCOTT;$ 3.062.000;Nuevo;;3062000;Scott Aspect 15;CAT01;Bicicletas
Shimano;MORDAZA BR-M7120 SLX DISCO HIDRAULICO F/R 4 PISTONES SHIMANO;$ 260.000;Nuevo;;260000;Shimano BR-M7120 SLX;CAT04;Frenos
Shimano;JUEGO DE BIELAS FC-M5100-2 DEORE 26-36T 11V SHIMANO;$ 242.000;Nuevo;;242000;Shimano FC-M5100-2 Deore;CAT02;Componentes
Shimano;PINZAS DE FRENO BR-R7000 F/R 105 SHIMANO;$ 320.000;Nuevo;;320000;Shimano BR-R7000 105;CAT04;Frenos
Shimano;PEDALES PD-R9100 DURA-ACE RUTA SHIMANO;$ 720.000;Nuevo;;720000;Shimano PD-R9100 Dura-Ace;CAT02;Componentes
Shimano;PEDALES PD-R8000 ULTEGRA EJE 4MM RUTA SHIMANO;$ 470.000;Nuevo;;470000;Shimano PD-R8000 Ultegra;CAT02;Componentes
Shimano;JUEGO DE FRENO MTB DISCO HIDRAULICOS BL/BR-M8100 XT 2 PISTONES SHIMANO;$ 980.000;Nuevo;;980000;Shimano BL/BR-M8100 XT;CAT04;Frenos
Shimano;PALANCAS DE FRENO BL-M8100 XT SHIMANO;$ 315.000;Nuevo;;315000;Shimano BL-M8100 XT;CAT04;Frenos
Shimano;JUEGO DE BIELAS FC-MT210-2 36-22T 9V SHIMANO;$ 170.000;Nuevo;;170000;Shimano FC-MT210-2;CAT02;Componentes
Shimano;DESVIADOR DELANTERO FD-M6025-H DEORE 2X10V ABRAZADERA ALTA DUAL PULL SHIMANO;$ 104.000;Nuevo;;104000;Shimano Deore FD-M6025-H;CAT02;Componentes
Shimano;DESVIADOR DELANTERO FD-M2020-TS ALTUS 2X9V ABRAZADERA BAJA DUAL PULL SHIMANO;$ 65.000;Nuevo;;65000;Shimano Altus FD-M2020-TS;CAT02;Componentes
Shimano;DESVIADOR DELANTERO FD-M4100-M DEORE 2X10V ABRAZADERA MEDIA SIDE SWING SHIMANO;$ 94.000;Nuevo;;94000;Shimano Deore FD-M4100-M;CAT02;Componentes
Shimano;DESVIADOR DELANTERO FD-R7000-L 105 11V SHIMANO;$ 140.000;Nuevo;;140000;Shimano 105 FD-R7000-L;CAT02;Componentes
Shimano;DESVIADOR DELANTERO FD-4700 TIAGRA 10V SHIMANO;$ 125.000;Nuevo;;125000;Shimano Tiagra FD-4700;CAT02;Componentes
Shimano;DESVIADOR TRASERO RD-R8000 GS ULTEGRA 11V SHIMANO;$ 330.000;Nuevo;;330000;Shimano Ultegra RD-R8000 GS;CAT02;Componentes
Shimano;DESVIADOR TRASERO RD-4700 GS TIAGRA 10V SHIMANO;$ 150.000;Nuevo;;150000;Shimano Tiagra RD-4700 GS;CAT02;Componentes
Shimano;DESVIADOR TRASERO RD-R7000 GS 105 11V SHIMANO;$ 150.000;Nuevo;;150000;Shimano 105 RD-R7000 GS;CAT02;Componentes
Shimano;CASSETTE CS-6600 ULTEGRA 10V SHIMANO;$ 283.000;Nuevo;;283000;Shimano Ultegra CS-6600;CAT02;Componentes
Shimano;DESVIADOR TRASERO RD-M6100-SGS DEORE 1*12V SHIMANO;$ 175.000;Nuevo;;175000;Shimano Deore RD-M6100-SGS;CAT02;Componentes
Shimano;DESVIADOR TRASERO RD-M6000-SGS DEORE 3*10V SHIMANO;$ 210.000;Nuevo;;210000;Shimano Deore RD-M6000-SGS;CAT02;Componentes
Shimano;KIT SANGRADO TL-BR FRENO DISCO ROAD-MTB SHIMANO;$ 143.000;Nuevo;;143000;Shimano TL-BR;CAT08;Herramientas
Shimano;PALANCA DE FRENO/CAMBIO ST-R7120 DERECHO 105 12V SHIMANO;$ 549.000;Nuevo;;549000;Shimano 105 ST-R7120;CAT02;Componentes
Shimano;CASSETTE CS-HG700 11-34T 11V SHIMANO;$ 195.000;Nuevo;;195000;Shimano CS-HG700;CAT02;Componentes
Shimano;CASSETTE CS-HG710-12 105 12V 11-36T SHIMANO;$ 260.000;Nuevo;;260000;Shimano 105 CS-HG710-12;CAT02;Componentes
Shimano;CASSETTE HG-500-10 TIAGRA 10V SHIMANO;$ 111.000;Nuevo;;111000;Shimano Tiagra HG-500-10;CAT02;Componentes
Shimano;CASSETTE CS-R9200 DURA ACE 12V SHIMANO;$ 1.033.000;Nuevo;;1033000;Shimano Dura Ace CS-R9200;CAT02;Componentes
Shimano;CASSETTE CS-M6100-12 10-51T 12V SHIMANO;$ 305.000;Nuevo;;305000;Shimano CS-M6100-12;CAT02;Componentes
Shimano;MORDAZA BR-M6100 DEORE DISCO HIDRAULICO F/R 2 PISTONES SHIMANO;$ 130.000;Nuevo;;130000;Shimano Deore BR-M6100;CAT04;Frenos
Shimano;PINZAS DE FRENO BR-4700 F/R TIAGRA SHIMANO;$ 235.000;Nuevo;;235000;Shimano Tiagra BR-4700;CAT04;Frenos
Shimano;CABLE CONEXIÓN EN Y EW-JC130-MM SHIMANO;$ 216.000;Nuevo;;216000;Shimano EW-JC130-MM;CAT06;Electrónica
Shimano;CABLE ELECTRICO EW-SD50 750MM Di2 SHIMANO;$ 88.000;Nuevo;;88000;Shimano EW-SD50 Di2;CAT06;Electrónica
Shimano;Cable Shimano EW-SD300 Di2 400mm – Conexión E-Tube para Transmisión Electrónica;$ 68.000;Nuevo;;68000;Shimano EW-SD300 Di2;CAT06;Electrónica
SCOTT;GW Destructor 20 SCOTT;$ 815.000;NUEVO;;815000;GW Destructor 20;CAT01;Bicicletas
